FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
4, -0.867920, -0.025146, -0.498291, -0.167847, -0.457764, 0.488281, 0.000000
4, -0.865479, -0.025146, -0.491699, -0.244141, -0.411987, 0.686646, 0.000000
4, -0.868896, -0.025146, -0.493896, -0.213623, -0.381470, 0.747681, 0.000000
4, -0.865234, -0.024170, -0.492432, -0.396729, -0.350952, 0.808716, 0.000000
4, -0.864746, -0.019531, -0.496094, -0.488281, -0.335693, 0.915527, 0.000000
4, -0.863525, -0.020264, -0.480713, -0.915527, -0.259399, 0.854492, 0.000000
4, -0.866699, -0.019043, -0.488770, -0.793457, -0.076294, 0.808716, 0.000000
4, -0.869629, -0.016602, -0.486816, -0.595093, 0.106812, 0.946045, 0.000000
4, -0.869141, -0.013428, -0.486816, -0.869751, 0.198364, 0.854492, 0.000000
4, -0.866699, -0.013916, -0.494141, -1.098633, 0.442505, 0.885010, 0.000000
4, -0.872559, -0.012207, -0.490967, -0.930786, 0.671387, 0.701904, 0.000000
4, -0.870605, -0.014404, -0.490234, -1.144409, 0.717163, 0.625610, 0.000000
5, -0.869385, -0.018311, -0.492432, -1.174927, 0.701904, 0.473022, 0.000000
5, -0.870117, -0.016357, -0.491211, -1.022339, 0.915527, 0.381470, 0.000000
5, -0.870850, -0.013916, -0.494629, -0.839233, 0.961304, 0.335693, 0.000000
5, -0.870605, -0.017334, -0.494873, -0.839233, 0.991821, 0.381470, 0.000000
5, -0.873535, -0.019287, -0.494141, -0.808716, 1.190186, 0.366211, 0.000000
5, -0.873291, -0.017578, -0.497314, -0.793457, 1.174927, 0.213623, 0.000000
5, -0.873291, -0.022949, -0.505127, -0.793457, 1.190186, 0.000000, 0.000000
5, -0.866943, -0.016846, -0.505371, -0.793457, 1.251221, -0.091553, 0.000000
5, -0.869629, -0.019287, -0.505859, -0.686646, 1.083374, -0.122070, 0.000000
5, -0.872314, -0.021240, -0.509277, -0.717163, 1.159668, -0.137329, 0.000000
